path,true_is_countable,pred_is_countable,confidence,predicted_count,true_value
data/cropped_wells/PR8/plate_1/PR8_plate1_C1.jpg,1,1,0.9994834661483765,0.0,7
data/cropped_wells/Brisbane/plate_9/Brisbane_plate9_A3.jpg,1,1,0.9987136125564575,0.0,6
data/cropped_wells/PR8/plate_2/PR8_plate2_C1.jpg,1,1,0.9996565580368042,0.0,2
data/cropped_wells/PR8/plate_16/PR8_plate16_A2.jpg,1,1,0.9984081387519836,0.0,0
data/cropped_wells/Panama/plate_2/Panama_plate2_C4.jpg,1,1,0.9989001750946045,0.0,0
data/cropped_wells/PR8/plate_17/PR8_plate17_C2.jpg,1,1,0.9999191761016846,0.0,0
data/cropped_wells/PR8/plate_14/PR8_plate14_A1.jpg,1,1,0.999440610408783,0.0,0
data/cropped_wells/PR8/plate_19/PR8_plate19_B1.jpg,0,0,0.013397461734712124,,-1
data/cropped_wells/IBV/plate_6/IBV_plate6_A3.jpg,0,0,0.008608244359493256,,-1
data/cropped_wells/IBV/plate_5/IBV_plate5_C2.jpg,1,1,0.9992716908454895,0.0,0
data/cropped_wells/IBV/plate_6/IBV_plate6_C3.jpg,0,0,0.008653377182781696,,-1
data/cropped_wells/PR8/plate_18/PR8_plate18_A4.jpg,1,1,0.999883770942688,0.0,1
data/cropped_wells/Panama/plate_10/Panama_plate10_B4.jpg,1,1,0.9990822076797485,0.0,0
data/cropped_wells/IBV/plate_2/IBV_plate2_C1.jpg,0,0,0.0033158070873469114,,-1
data/cropped_wells/Brisbane/plate_2/Brisbane_plate2_A1.jpg,0,0,0.004046535585075617,,-1
data/cropped_wells/PR8v/plate_13/PR8v_plate13_C4.jpg,1,1,0.9996925592422485,7.940818786621094,15
data/cropped_wells/PR8v/plate_5/PR8v_plate5_B1.jpg,0,0,0.006214886903762817,,-1
data/cropped_wells/Panama/plate_2/Panama_plate2_A2.jpg,1,1,0.9997482895851135,0.0,1
data/cropped_wells/IBV/plate_4/IBV_plate4_B4.jpg,0,0,0.0025052963756024837,,-1
data/cropped_wells/PR8/plate_1/PR8_plate1_C3.jpg,1,1,0.9918471574783325,0.0,0
data/cropped_wells/IBV/plate_7/IBV_plate7_C1.jpg,1,1,0.9986724853515625,0.0,0
data/cropped_wells/PR8/plate_12/PR8_plate12_B3.jpg,1,1,0.9990228414535522,0.0,0
data/cropped_wells/IBV/plate_6/IBV_plate6_B2.jpg,0,0,0.005775953643023968,,-1
data/cropped_wells/PR8/plate_7/PR8_plate7_B4.jpg,1,1,0.9997072815895081,0.0,0
data/cropped_wells/Brisbane/plate_8/Brisbane_plate8_B1.jpg,0,0,0.009820173494517803,,-1
data/cropped_wells/Panama/plate_4/Panama_plate4_A2.jpg,1,1,0.997318685054779,0.0,0
data/cropped_wells/PR8v/plate_2/PR8v_plate2_A3.jpg,0,0,0.06174406781792641,,-1
data/cropped_wells/IBV/plate_3/IBV_plate3_B4.jpg,1,1,0.9986415505409241,0.0,0
data/cropped_wells/Brisbane/plate_8/Brisbane_plate8_A2.jpg,1,1,0.9998040795326233,23.891115188598633,32
data/cropped_wells/PR8v/plate_1/PR8v_plate1_B3.jpg,0,0,0.06509348750114441,,-1
data/cropped_wells/PR8/plate_9/PR8_plate9_A4.jpg,1,1,0.9996242523193359,0.0,0
data/cropped_wells/PR8/plate_19/PR8_plate19_C3.jpg,1,1,0.9995231628417969,0.0,8
data/cropped_wells/PR8/plate_19/PR8_plate19_A3.jpg,1,1,0.9998579025268555,0.0,4
data/cropped_wells/PR8v/plate_9/PR8v_plate9_A2.jpg,0,0,0.04225068539381027,,-1
data/cropped_wells/Panama/plate_4/Panama_plate4_A3.jpg,1,1,0.9984791874885559,0.0,0
data/cropped_wells/Panama/plate_7/Panama_plate7_C4.jpg,1,1,0.9977899789810181,0.0,0
data/cropped_wells/IBV/plate_3/IBV_plate3_B2.jpg,1,1,0.9931071400642395,0.0,8
data/cropped_wells/Brisbane/plate_3/Brisbane_plate3_B4.jpg,1,1,0.9994893074035645,0.0,1
data/cropped_wells/Brisbane/plate_8/Brisbane_plate8_A3.jpg,1,1,0.9991893172264099,0.0,3
data/cropped_wells/Panama/plate_2/Panama_plate2_B3.jpg,1,1,0.9997125267982483,0.0,0
data/cropped_wells/PR8v/plate_10/PR8v_plate10_B2.jpg,0,0,0.06996976584196091,,-1
data/cropped_wells/PR8v/plate_8/PR8v_plate8_A1.jpg,0,0,0.06022758409380913,,-1
data/cropped_wells/PR8v/plate_13/PR8v_plate13_B4.jpg,1,1,0.9602673053741455,9.423935890197754,36
data/cropped_wells/Brisbane/plate_4/Brisbane_plate4_A1.jpg,0,0,0.006739544682204723,,-1
data/cropped_wells/PR8/plate_10/PR8_plate10_C3.jpg,1,1,0.9985144734382629,0.0,0
data/cropped_wells/PR8v/plate_11/PR8v_plate11_C1.jpg,0,0,0.03210081905126572,,-1
data/cropped_wells/PR8/plate_14/PR8_plate14_C1.jpg,1,1,0.9993410706520081,0.0,0
data/cropped_wells/PR8v/plate_1/PR8v_plate1_C2.jpg,0,0,0.015114989131689072,,-1
data/cropped_wells/Brisbane/plate_2/Brisbane_plate2_B4.jpg,1,1,0.9978727102279663,1.4458211660385132,0
data/cropped_wells/Brisbane/plate_9/Brisbane_plate9_C4.jpg,1,1,0.9918084740638733,0.0,0
data/cropped_wells/PR8/plate_22/PR8_plate22_A2.jpg,1,1,0.9994983673095703,0.0,12
